snapshot_date,owner_group,repo_count,total_stars,avg_stars,total_forks,total_watchers,total_open_issues,archived_repo_count,active_repo_count,language_count
2026-03-28,CoryLawsonxMortgageAI,1,1,1,0,1,2,0,1,1
2026-03-28,Danny-Ap,1,1,1,1,1,0,0,1,1
2026-03-28,Kasuba-phani,1,1,1,0,1,0,0,1,1
2026-03-28,SpiralCloudOmega,1,1,1,0,1,14,0,1,1
2026-03-28,TsilidisV,1,1,1,0,1,0,0,1,1
2026-03-28,cianfhoghlaim,1,1,1,0,1,0,0,1,1
2026-03-28,enriquegomeztagle,1,1,1,0,1,1,0,1,1
2026-03-28,espinosacodes,1,1,1,0,1,0,0,1,1
2026-03-28,husam-hammami,1,1,1,0,1,0,0,1,1
2026-03-28,hxwd94666,1,1,1,0,1,0,0,1,1
2026-03-28,imakshat47,1,1,1,6,1,1,0,1,1
2026-03-28,reedwhetstone,1,1,1,0,1,2,0,1,1
2026-03-28,Abhi-Gangurde,1,0,0,0,0,0,0,1,1
2026-03-28,Akunfalse,1,0,0,0,0,0,0,1,1
2026-03-28,Analytics-JDS,1,0,0,0,0,0,0,1,1
2026-03-28,Anish-Upadhyay,1,0,0,0,0,0,0,1,1
2026-03-28,Arrah28,1,0,0,0,0,0,0,1,1
2026-03-28,Balasubramanian-pg,1,0,0,0,0,0,0,1,1
2026-03-28,CommittedCoaches,1,0,0,0,0,0,0,1,1
2026-03-28,DRAQX,1,0,0,0,0,0,0,1,1
2026-03-28,Djisu,1,0,0,0,0,0,0,1,1
2026-03-28,EricGuerrize,1,0,0,0,0,0,0,1,1
2026-03-28,Ezekwemdesmond,1,0,0,0,0,0,0,1,1
2026-03-28,GAkbulutlar,1,0,0,0,0,0,0,1,1
2026-03-28,GYULEE55,1,0,0,0,0,0,0,1,1
2026-03-28,Hector-p,1,0,0,0,0,0,0,1,1
2026-03-28,Houciene,1,0,0,0,0,0,0,1,1
2026-03-28,IFC-Chalaco,1,0,0,0,0,0,0,1,1
2026-03-28,JanaineJMX,1,0,0,0,0,0,0,1,1
2026-03-28,JohnOngeri,1,0,0,0,0,0,0,1,1
2026-03-28,KANH12,1,0,0,0,0,0,0,1,1
2026-03-28,KanwarRahul,1,0,0,0,0,0,0,1,1
2026-03-28,Mahesh-N-Data,1,0,0,0,0,0,0,1,1
2026-03-28,Michaelc00s,1,0,0,0,0,0,0,1,1
2026-03-28,Naima-ouc,1,0,0,0,0,0,0,1,1
2026-03-28,Prakharnamdeo15,1,0,0,0,0,0,0,1,1
2026-03-28,ProphetSunboy,1,0,0,0,0,0,0,1,1
2026-03-28,Sairanyx,1,0,0,1,0,0,0,1,1
2026-03-28,SakshiRawat25,1,0,0,0,0,0,0,1,1
2026-03-28,Simbus-Databricks,1,0,0,0,0,0,0,1,1
2026-03-28,SourabhKhamankar22,1,0,0,0,0,0,0,1,1
2026-03-28,Sravanthi-Git123,1,0,0,0,0,0,0,1,1
2026-03-28,TiisoBasisEnergy,1,0,0,0,0,0,0,1,1
2026-03-28,XARZGAMING,1,0,0,0,0,0,0,1,1
2026-03-28,adithyadaine,1,0,0,0,0,0,0,1,1
2026-03-28,alouiyaz78,1,0,0,0,0,0,0,1,1
2026-03-28,amrita-de,1,0,0,0,0,0,0,1,1
2026-03-28,andyombogo,1,0,0,0,0,0,0,1,1
2026-03-28,ankinguyen-engineer-2002,1,0,0,0,0,0,0,1,1
2026-03-28,antoniocalapai,1,0,0,0,0,0,0,1,1
2026-03-28,atomixon49,1,0,0,0,0,0,0,1,1
2026-03-28,axiom-of-choice,1,0,0,0,0,0,0,1,1
2026-03-28,azertydj23-design,1,0,0,0,0,0,0,1,1
2026-03-28,b8511,1,0,0,0,0,0,0,1,1
2026-03-28,bananasminecraftroblox192-glitch,1,0,0,0,0,0,0,1,1
2026-03-28,best254002-boop,1,0,0,0,0,0,0,1,1
2026-03-28,bpragatirao,1,0,0,0,0,0,0,1,1
2026-03-28,briceverola,1,0,0,0,0,0,0,1,1
2026-03-28,brunodutraho,1,0,0,0,0,0,0,1,1
2026-03-28,datasuccess,1,0,0,0,0,0,0,1,1
2026-03-28,elb200,1,0,0,0,0,0,0,1,1
2026-03-28,ericbrown379,1,0,0,0,0,0,0,1,1
2026-03-28,etc0,1,0,0,0,0,0,0,1,1
2026-03-28,felipefl142,1,0,0,0,0,0,0,1,1
2026-03-28,forthekidsq1-png,1,0,0,0,0,0,0,1,1
2026-03-28,hd2705,1,0,0,0,0,0,0,1,1
2026-03-28,janabrgs,1,0,0,0,0,0,0,1,1
2026-03-28,janiomjunior,1,0,0,0,0,0,0,1,1
2026-03-28,jhersonsanchez905-art,1,0,0,0,0,0,0,1,1
2026-03-28,joshap807,1,0,0,0,0,0,0,1,1
2026-03-28,lemosjose,1,0,0,0,0,0,0,1,1
2026-03-28,lulubazx,1,0,0,0,0,0,0,1,1
2026-03-28,mahmoudnasser-97,1,0,0,0,0,0,0,1,1
2026-03-28,marcoleloam,1,0,0,0,0,0,0,1,1
2026-03-28,mohammedwritten616,1,0,0,0,0,0,0,1,1
2026-03-28,mujahidnadeem6852443,1,0,0,0,0,0,0,1,1
2026-03-28,mwashburn160,1,0,0,0,0,0,0,1,1
2026-03-28,nagasantoshchavvakula,1,0,0,0,0,0,0,1,1
2026-03-28,openinherit,1,0,0,2,0,10,0,1,1
2026-03-28,otaviobernardo,1,0,0,0,0,0,0,1,1
2026-03-28,powerofzeus123,1,0,0,0,0,0,0,1,1
2026-03-28,pranjalmandhan,1,0,0,0,0,0,0,1,1
2026-03-28,realusmannazir1,1,0,0,0,0,0,0,1,1
